home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,month,day,Continent,MaximumTemp_Month,MinimumTemp_Month,HomeTeamRank,AwayTeamRank,MatchResult
Northern Ireland,England,0,4,UEFA Euro qualification,Belfast,Northern Ireland,FALSE,1983,May,14,europe,14,7,77,8,0
England,Scotland,2,0,UEFA Euro qualification,Leeds,England,FALSE,1983,May,22,europe,16,8,8,21,1
Switzerland,Italy,0,2,UEFA Euro qualification,Lugano,Switzerland,FALSE,1983,May,23,Europe,19,7,26,10,0
Sweden,Finland,5,0,UEFA Euro qualification,Sollefteå,Sweden,FALSE,1983,June,8,Europe,18,11,5,16,1
Portugal,Italy,0,2,UEFA Euro qualification,Porto,Portugal,FALSE,1983,June,24,Europe,25,16,41,10,0
Iceland,Norway,0,1,UEFA Euro qualification,Kópavogur,Iceland,FALSE,1983,July,30,Europe,14,9,17,3,0
Norway,Finland,3,0,UEFA Euro qualification,Lillestrøm,Norway,FALSE,1983,August,18,Europe,20,11,3,16,1
Belgium,Denmark,2,2,UEFA Euro qualification,Brussels,Belgium,FALSE,1983,August,19,Europe,23,15,27,8,2
Iceland,Finland,0,2,UEFA Euro qualification,Kópavogur,Iceland,FALSE,1983,August,21,Europe,13,9,17,16,0
Sweden,Iceland,5,0,UEFA Euro qualification,Ronneby,Sweden,FALSE,1983,August,24,Europe,20,14,5,17,1
Finland,Iceland,3,0,UEFA Euro qualification,Porvoo,Finland,FALSE,1983,August,27,Europe,19,15,16,17,1
England,Republic of Ireland,6,0,UEFA Euro qualification,Reading,England,FALSE,1983,September,11,europe,19,12,8,31,1
Italy,Switzerland,2,0,UEFA Euro qualification,Rome,Italy,FALSE,1983,September,17,Europe,26,20,10,26,1
Norway,Sweden,1,2,UEFA Euro qualification,Elverum,Norway,FALSE,1983,September,24,Europe,16,8,3,5,0
Denmark,Germany,1,0,UEFA Euro qualification,Sønderborg,Denmark,FALSE,1983,September,24,Europe,17,14,8,2,1
Germany,Netherlands,1,1,UEFA Euro qualification,Siegen,Germany,FALSE,1983,October,8,Europe,14,7,2,14,2
Belgium,Germany,1,1,UEFA Euro qualification,Brussels,Belgium,FALSE,1983,October,22,Europe,15,9,27,2,2
Republic of Ireland,Northern Ireland,3,2,UEFA Euro qualification,Dublin,Republic of Ireland,FALSE,1983,October,23,Europe,13,10,31,77,1
Switzerland,France,0,0,UEFA Euro qualification,Burgdorf,Switzerland,FALSE,1983,October,29,Europe,15,5,26,3,2
Denmark,Netherlands,2,0,UEFA Euro qualification,Sønderborg,Denmark,FALSE,1983,October,29,Europe,12,10,8,14,1
New Caledonia,Fiji,2,0,OFC Championship,Nouméa,New Caledonia,FALSE,1983,November,28,oceania,24,20,96,72,1
New Zealand,Australia,0,0,OFC Championship,Nouméa,New Caledonia,TRUE,1983,November,28,oceania,24,20,23,15,2
New Caledonia,Australia,0,5,OFC Championship,Nouméa,New Caledonia,FALSE,1983,November,30,oceania,24,20,96,15,0
New Zealand,Fiji,15,1,OFC Championship,Nouméa,New Caledonia,TRUE,1983,November,30,oceania,24,20,23,72,1
Australia,Fiji,13,0,OFC Championship,Nouméa,New Caledonia,TRUE,1983,December,2,oceania,26,22,15,72,1
New Caledonia,New Zealand,0,6,OFC Championship,Nouméa,New Caledonia,FALSE,1983,December,2,oceania,26,22,96,23,0
New Zealand,Australia,3,2,OFC Championship,Nouméa,New Caledonia,TRUE,1983,December,4,oceania,26,22,23,15,1
England,Denmark,2,1,UEFA Euro,Crewe,England,FALSE,1984,April,8,europe,14,6,8,8,1
Italy,Sweden,2,3,UEFA Euro,Rome,Italy,FALSE,1984,April,8,Europe,18,12,10,5,0
Denmark,England,0,1,UEFA Euro,Hjørring,Denmark,FALSE,1984,April,28,Europe,9,5,8,8,0
Sweden,Italy,2,1,UEFA Euro,Linköping,Sweden,FALSE,1984,April,28,Europe,9,3,5,10,1
Sweden,England,1,0,UEFA Euro,Gothenburg,Sweden,FALSE,1984,May,12,Europe,14,7,5,8,1
England,Sweden,1,0,UEFA Euro,Luton,England,FALSE,1984,May,27,europe,16,8,8,5,1
Italy,Germany,1,2,Mundialito,Caorle,Italy,FALSE,1984,August,19,Europe,30,23,10,2,0
England,Belgium,1,1,Mundialito,Jesolo,Italy,TRUE,1984,August,20,Europe,30,23,8,27,2
Italy,Belgium,4,0,Mundialito,Caorle,Italy,FALSE,1984,August,21,Europe,30,23,10,27,1
Germany,England,2,0,Mundialito,Jesolo,Italy,TRUE,1984,August,22,Europe,30,23,2,8,1
Belgium,Germany,2,0,Mundialito,Caorle,Italy,TRUE,1984,August,23,Europe,30,23,27,2,1
Italy,England,1,1,Mundialito,Jesolo,Italy,FALSE,1984,August,24,Europe,30,23,10,8,2
England,Belgium,2,1,Mundialito,Caorle,Italy,TRUE,1984,August,25,Europe,30,23,8,27,1
Italy,Germany,3,1,Mundialito,Jesolo,Italy,FALSE,1984,August,26,Europe,30,23,10,2,1
Finland,Norway,0,0,UEFA Euro qualification,Tuusula,Finland,FALSE,1984,September,26,Europe,15,12,16,3,2
Germany,Finland,1,0,UEFA Euro qualification,Lüdenscheid,Germany,FALSE,1984,October,3,Europe,14,7,2,16,1
Denmark,Finland,1,1,UEFA Euro qualification,Odense,Denmark,FALSE,1984,October,24,Europe,12,10,8,16,2
Netherlands,France,1,0,UEFA Euro qualification,Leeuwarden,Netherlands,FALSE,1985,March,16,Europe,10,4,14,3,1
England,Scotland,4,0,UEFA Euro qualification,England,England,FALSE,1985,March,17,europe,10,4,8,21,1
Hungary,Spain,1,0,UEFA Euro qualification,Hungary,Hungary,FALSE,1985,April,27,Europe,17,8,39,20,1
Denmark,Germany,3,0,UEFA Euro qualification,Sønderborg,Denmark,FALSE,1985,May,1,Europe,13,9,8,2,1
Belgium,France,3,1,UEFA Euro qualification,Zaventem,Belgium,FALSE,1985,May,4,Europe,18,9,27,3,1
Republic of Ireland,Northern Ireland,1,0,UEFA Euro qualification,Republic of Ireland,Republic of Ireland,FALSE,1985,May,5,Europe,13,8,31,77,1
Finland,Denmark,0,2,UEFA Euro qualification,Kotka,Finland,FALSE,1985,May,11,Europe,11,7,16,8,0
Northern Ireland,England,1,7,UEFA Euro qualification,Northern Ireland,Northern Ireland,FALSE,1985,May,25,Europe,14,7,77,8,0
France,Sweden,0,4,UEFA Euro qualification,Pauillac,France,FALSE,1985,May,25,Europe,19,10,3,5,0
Hungary,Italy,2,3,UEFA Euro qualification,Gyöngyös,Hungary,FALSE,1985,May,25,Europe,21,11,39,10,0
Scotland,Republic of Ireland,2,1,UEFA Euro qualification,Scotland,Scotland,FALSE,1985,June,2,Europe,15,8,21,31,1
Sweden,Netherlands,2,0,UEFA Euro qualification,Helsingborg,Sweden,FALSE,1985,June,11,Europe,18,11,5,14,1
Spain,Switzerland,0,2,UEFA Euro qualification,Cuenca,Spain,FALSE,1985,June,25,Europe,30,18,20,26,0
Italy,USA,1,0,Mundialito,Jesolo,Italy,FALSE,1985,August,18,Europe,30,23,10,1,1
Denmark,England,1,0,Mundialito,Caorle,Italy,TRUE,1985,August,19,Europe,30,23,8,8,1
Italy,England,1,1,Mundialito,Jesolo,Italy,FALSE,1985,August,20,Europe,30,23,10,8,2
USA,Denmark,2,2,Mundialito,Jesolo,Italy,TRUE,1985,August,21,Europe,30,23,1,8,2
Italy,Denmark,2,1,Mundialito,Caorle,Italy,FALSE,1985,August,22,Europe,30,23,10,8,1
England,USA,3,1,Mundialito,Caorle,Italy,TRUE,1985,August,23,Europe,30,23,8,1,1
Denmark,USA,1,0,Mundialito,Jesolo,Italy,TRUE,1985,August,24,Europe,30,23,8,1,1
Italy,England,2,3,Mundialito,Caorle,Italy,FALSE,1985,August,25,Europe,30,23,10,8,0
Germany,Norway,2,3,UEFA Euro qualification,Lüneburg,Germany,FALSE,1985,September,7,Europe,20,12,2,3,0
Italy,Switzerland,3,0,UEFA Euro qualification,Padova,Italy,FALSE,1985,September,14,Europe,26,20,10,26,1
Republic of Ireland,England,0,6,UEFA Euro qualification,Cork,Republic of Ireland,FALSE,1985,September,22,Europe,16,11,31,8,0
Belgium,Netherlands,1,3,UEFA Euro qualification,Zaventem,Belgium,FALSE,1985,September,28,Europe,20,12,27,14,0
Norway,Denmark,2,2,UEFA Euro qualification,Oslo,Norway,FALSE,1985,October,2,Europe,10,4,3,8,2
Finland,Germany,1,0,UEFA Euro qualification,Turku,Finland,FALSE,1985,October,5,Europe,9,6,16,2,1
Sweden,Belgium,5,0,UEFA Euro qualification,Jönköping,Sweden,FALSE,1985,October,9,Europe,10,6,5,27,1
Switzerland,Hungary,1,2,UEFA Euro qualification,Renens,Switzerland,FALSE,1985,October,12,Europe,15,5,26,39,0
France,Netherlands,3,5,UEFA Euro qualification,Cambrai,France,FALSE,1985,October,26,Europe,17,10,3,14,0
Spain,Italy,2,3,UEFA Euro qualification,Palma,Spain,FALSE,1985,November,3,Europe,15,7,20,10,0
Northern Ireland,Scotland,1,9,UEFA Euro qualification,Northern Ireland,Northern Ireland,FALSE,1985,November,23,europe,9,6,77,21,0
France,Belgium,3,1,UEFA Euro qualification,Niederbronn,France,FALSE,1986,March,15,Europe,12,5,3,27,1
England,Northern Ireland,10,0,UEFA Euro qualification,England,England,FALSE,1986,March,16,europe,10,4,8,77,1
New Zealand,Australia,0,1,OFC Championship,Christchurch,New Zealand,FALSE,1986,March,29,Oceania,21,16,23,15,0
Taiwan,Australia,1,0,OFC Championship,Christchurch,New Zealand,TRUE,1986,March,31,Oceania,21,16,40,15,1
New Zealand,Taiwan,1,2,OFC Championship,Christchurch,New Zealand,FALSE,1986,April,2,Oceania,19,15,23,40,0
Taiwan,Australia,4,1,OFC Championship,Christchurch,New Zealand,TRUE,1986,April,4,Oceania,19,15,40,15,1
Spain,Hungary,1,2,UEFA Euro qualification,Spain,Spain,FALSE,1986,April,5,Europe,19,8,20,39,0
England,Republic of Ireland,4,0,UEFA Euro qualification,Reading,England,FALSE,1986,April,27,europe,14,6,8,31,1
Italy,Hungary,1,0,UEFA Euro qualification,Potenza,Italy,FALSE,1986,May,3,Europe,21,15,10,39,1
Sweden,France,1,0,UEFA Euro qualification,Karlskoga,Sweden,FALSE,1986,May,17,Europe,14,7,5,3,1
Norway,Germany,0,0,UEFA Euro qualification,Oslo,Norway,FALSE,1986,May,19,Europe,15,5,3,2,2
Scotland,Northern Ireland,7,0,UEFA Euro qualification,Scotland,Scotland,FALSE,1986,May,25,europe,12,5,21,77,1
Switzerland,Spain,0,3,UEFA Euro qualification,Solothurn,Switzerland,FALSE,1986,June,10,Europe,23,11,26,20,0
Italy,Japan,5,1,Mundialito,Jesolo,Italy,FALSE,1986,July,19,Europe,29,23,10,11,1
USA,China PR,2,1,Mundialito,Jesolo,Italy,TRUE,1986,July,20,Europe,29,23,1,15,1
Japan,Mexico,3,0,Mundialito,Jesolo,Italy,TRUE,1986,July,21,Europe,29,23,11,22,1
USA,Brazil,2,1,Mundialito,Jesolo,Italy,TRUE,1986,July,22,Europe,29,23,1,4,1
Italy,Mexico,6,0,Mundialito,Jesolo,Italy,FALSE,1986,July,23,Europe,29,23,10,22,1
China PR,Brazil,1,1,Mundialito,Jesolo,Italy,TRUE,1986,July,24,Europe,29,23,15,4,2
Italy,China PR,3,0,Mundialito,Jesolo,Italy,FALSE,1986,July,25,Europe,29,23,10,15,1
USA,Japan,3,1,Mundialito,Jesolo,Italy,TRUE,1986,July,25,Europe,29,23,1,11,1
